Name,Tm,G,R,H,2B,3B,HR,RBI,SO,SB,BA,OBP,OPS
Mike Trout,Los Angeles,5,4,4,1,0,1,3,4,0,0.286,0.474,1.045
Kyle Tucker,Chicago,6,5,8,2,0,2,4,3,2,0.32,0.346,0.986
Brice Turang,Milwaukee,4,3,8,2,0,0,4,2,1,0.5,0.529,1.154
Justin Turner,Chicago,2,0,2,1,0,0,0,1,0,0.5,0.5,1.25
Trea Turner,Philadelphia,6,4,6,1,0,2,4,7,1,0.24,0.231,0.751
Luis Urías,Athletics,6,0,4,0,0,0,1,5,0,0.182,0.217,0.399
Ramón Urías,Baltimore,5,3,7,2,0,0,3,4,1,0.35,0.391,0.841
Gio Urshela,Athletics,2,0,0,0,0,0,0,2,0,0,0.143,0.143
Miguel Vargas,Chicago,5,2,1,0,0,0,0,5,1,0.059,0.2,0.259
Christian Vázquez,Minnesota,4,0,0,0,0,0,0,2,0,0,0.273,0.273
Luis Vázquez,Baltimore,2,1,1,0,0,0,1,0,0,1,1,2
Alex Verdugo,Atlanta,4,1,2,0,0,0,0,3,0,0.154,0.214,0.368
Mark Vientos,New York,3,0,1,0,0,0,0,5,0,0.077,0.077,0.154
Matt Vierling,Detroit,1,1,1,0,0,0,1,1,0,0.333,0.4,0.733
Ryan Vilade,Cincinnati,1,0,0,0,0,0,0,0,0,,,
Anthony Volpe,New York,6,2,2,1,0,0,1,4,1,0.105,0.308,0.466
LaMonte Wade Jr.,Los Angeles,4,1,1,0,0,0,0,2,0,0.1,0.25,0.35
Tyler Wade,San Diego,3,1,0,0,0,0,0,1,0,0,0.2,0.2
Eric Wagaman,Miami,4,1,4,2,0,0,4,5,0,0.2,0.2,0.5
Will Wagner,Toronto,2,0,2,0,0,0,0,2,0,0.333,0.333,0.667
Christian Walker,Houston,6,0,6,2,0,0,1,6,0,0.286,0.318,0.699
Matt Wallner,Minnesota,6,2,2,1,0,1,3,3,0,0.143,0.278,0.706
Taylor Walls,Tampa Bay,6,1,2,0,0,0,2,1,1,0.133,0.118,0.251
Taylor Ward,Los Angeles,5,5,6,4,0,1,4,6,0,0.316,0.435,1.119
Drew Waters,Kansas City,7,0,1,0,0,0,0,7,0,0.083,0.214,0.298
Austin Wells,New York,2,0,1,0,0,0,1,2,0,0.143,0.25,0.393
Jordan Westburg,Baltimore,2,0,1,1,0,0,0,1,0,0.2,0.2,0.6
Eli White,Atlanta,4,1,2,0,0,0,0,1,0,0.2,0.333,0.533
Luke Williams,Atlanta,1,0,0,0,0,0,0,0,0,,,
Ben Williamson,Seattle,5,2,4,1,0,0,1,4,0,0.267,0.313,0.646
Jacob Wilson,Athletics,6,1,4,1,0,0,0,6,0,0.167,0.2,0.408
Jack Winkler,Miami,3,1,0,0,0,0,0,0,1,0,0,0
Masyn Winn,St. Louis,7,3,9,2,0,0,1,4,0,0.333,0.357,0.765
Brett Wisely,San Francisco,5,0,3,1,0,0,2,1,0,0.25,0.4,0.733
Bobby Witt Jr.,Kansas City,7,6,10,4,0,1,5,8,1,0.323,0.323,0.871
Connor Wong,Boston,1,0,0,0,0,0,0,2,0,0,0,0
James Wood,Washington,4,2,4,0,0,0,1,5,2,0.333,0.55,0.883
Austin Wynns,Athletics,4,0,1,0,0,0,2,1,0,0.143,0.125,0.268
Mike Yastrzemski,San Francisco,6,1,4,0,0,1,1,9,1,0.182,0.217,0.536
Christian Yelich,Milwaukee,4,2,4,1,0,1,4,3,0,0.222,0.222,0.667
Cole Young,Seattle,7,1,7,1,0,0,0,3,0,0.28,0.333,0.653
Jacob Young,Washington,4,3,5,2,0,0,4,3,2,0.313,0.353,0.79
